Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cuenta,Saldo,No Cuentas,No Clientes
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,TARAPOA (OE.),DPF,52050.00,11,11
may-16,ZONAL LOJA,EL ORO,MACHALA,ARENILLAS (AG.),Ahorro,2972516.33,13755,13721
may-16,ZONAL LOJA,EL ORO,MACHALA,ARENILLAS (AG.),Corriente,249041.60,215,210
may-16,ZONAL LOJA,EL ORO,MACHALA,ARENILLAS (AG.),DPF,462698.00,26,24
may-16,ZONAL LOJA,EL ORO,MACHALA,HUAQUILLAS (OE.),Ahorro,1254440.38,7084,7084
may-16,ZONAL LOJA,EL ORO,MACHALA,HUAQUILLAS (OE.),Corriente,163017.33,95,95
may-16,ZONAL LOJA,EL ORO,MACHALA,MACHALA,Ahorro,3254705.44,33323,33173
may-16,ZONAL LOJA,EL ORO,MACHALA,MACHALA,Corriente,1010479.97,458,439
may-16,ZONAL LOJA,EL ORO,MACHALA,MACHALA,DPF,496510.61,25,20
may-16,ZONAL LOJA,EL ORO,MACHALA,MARCABELI (OE.),Ahorro,739572.82,2962,2939
